station,date,rain_mm,lat,lon
Campalagian,2013-01,117,-3.460856,119.15728
Campalagian,2013-02,255,-3.460856,119.15728
Campalagian,2013-03,231,-3.460856,119.15728
Campalagian,2013-04,188,-3.460856,119.15728
Campalagian,2013-05,187,-3.460856,119.15728
Campalagian,2013-06,272,-3.460856,119.15728
Campalagian,2013-07,117,-3.460856,119.15728
Campalagian,2013-08,240,-3.460856,119.15728
Campalagian,2013-09,140,-3.460856,119.15728
Campalagian,2013-10,118,-3.460856,119.15728
Campalagian,2013-11,205,-3.460856,119.15728
Campalagian,2013-12,296,-3.460856,119.15728
Campalagian,2014-01,247,-3.460856,119.15728
Campalagian,2014-02,252,-3.460856,119.15728
Campalagian,2014-03,244,-3.460856,119.15728
Campalagian,2014-04,257,-3.460856,119.15728
Campalagian,2014-05,203,-3.460856,119.15728
Campalagian,2014-06,125,-3.460856,119.15728
Campalagian,2014-07,268,-3.460856,119.15728
Campalagian,2014-08,190,-3.460856,119.15728
Campalagian,2014-09,200,-3.460856,119.15728
Campalagian,2014-10,174,-3.460856,119.15728
Campalagian,2014-11,136,-3.460856,119.15728
Campalagian,2014-12,286,-3.460856,119.15728
Campalagian,2015-01,257,-3.460856,119.15728
Campalagian,2015-02,229,-3.460856,119.15728
Campalagian,2015-03,180,-3.460856,119.15728
Campalagian,2015-04,265,-3.460856,119.15728
Campalagian,2015-05,209,-3.460856,119.15728
Campalagian,2015-06,189,-3.460856,119.15728
Campalagian,2015-07,190,-3.460856,119.15728
Campalagian,2015-08,145,-3.460856,119.15728
Campalagian,2015-09,118,-3.460856,119.15728
Campalagian,2015-10,211,-3.460856,119.15728
Campalagian,2015-11,278,-3.460856,119.15728
Campalagian,2015-12,112,-3.460856,119.15728
Campalagian,2016-01,272,-3.460856,119.15728
Campalagian,2016-02,266,-3.460856,119.15728
Campalagian,2016-03,155,-3.460856,119.15728
Campalagian,2016-04,226,-3.460856,119.15728
Campalagian,2016-05,133,-3.460856,119.15728
Campalagian,2016-06,252,-3.460856,119.15728
Campalagian,2016-07,240,-3.460856,119.15728
Campalagian,2016-08,171,-3.460856,119.15728
Campalagian,2016-09,113,-3.460856,119.15728
Campalagian,2016-10,295,-3.460856,119.15728
Campalagian,2016-11,189,-3.460856,119.15728
Campalagian,2016-12,279,-3.460856,119.15728
Campalagian,2017-01,236,-3.460856,119.15728
Campalagian,2017-02,256,-3.460856,119.15728
Campalagian,2017-03,252,-3.460856,119.15728
Campalagian,2017-04,139,-3.460856,119.15728
Campalagian,2017-05,173,-3.460856,119.15728
Campalagian,2017-06,193,-3.460856,119.15728
Campalagian,2017-07,200,-3.460856,119.15728
Campalagian,2017-08,108,-3.460856,119.15728
Campalagian,2017-09,209,-3.460856,119.15728
Campalagian,2017-10,131,-3.460856,119.15728
Campalagian,2017-11,249,-3.460856,119.15728
Campalagian,2017-12,237,-3.460856,119.15728
Campalagian,2018-01,285,-3.460856,119.15728
Campalagian,2018-02,249,-3.460856,119.15728
Campalagian,2018-03,173,-3.460856,119.15728
Campalagian,2018-04,294,-3.460856,119.15728
Campalagian,2018-05,182,-3.460856,119.15728
Campalagian,2018-06,165,-3.460856,119.15728
Campalagian,2018-07,282,-3.460856,119.15728
Campalagian,2018-08,174,-3.460856,119.15728
Campalagian,2018-09,115,-3.460856,119.15728
Campalagian,2018-10,194,-3.460856,119.15728
Campalagian,2018-11,259,-3.460856,119.15728
Campalagian,2018-12,138,-3.460856,119.15728
Campalagian,2019-01,193,-3.460856,119.15728
Campalagian,2019-02,126,-3.460856,119.15728
Campalagian,2019-03,237,-3.460856,119.15728
Campalagian,2019-04,195,-3.460856,119.15728
Campalagian,2019-05,166,-3.460856,119.15728
Campalagian,2019-06,145,-3.460856,119.15728
Campalagian,2019-07,213,-3.460856,119.15728
Campalagian,2019-08,234,-3.460856,119.15728
Campalagian,2019-09,289,-3.460856,119.15728
Campalagian,2019-10,187,-3.460856,119.15728
Campalagian,2019-11,132,-3.460856,119.15728
Campalagian,2019-12,267,-3.460856,119.15728
Campalagian,2020-01,226,-3.460856,119.15728
Campalagian,2020-02,240,-3.460856,119.15728
Campalagian,2020-03,119,-3.460856,119.15728
Campalagian,2020-04,162,-3.460856,119.15728
Campalagian,2020-05,254,-3.460856,119.15728
Campalagian,2020-06,267,-3.460856,119.15728
Campalagian,2020-07,187,-3.460856,119.15728
Campalagian,2020-08,261,-3.460856,119.15728
Campalagian,2020-09,269,-3.460856,119.15728
Campalagian,2020-10,177,-3.460856,119.15728
Campalagian,2020-11,280,-3.460856,119.15728
Campalagian,2020-12,157,-3.460856,119.15728
Campalagian,2021-01,148,-3.460856,119.15728
Campalagian,2021-02,237,-3.460856,119.15728
Campalagian,2021-03,227,-3.460856,119.15728
Campalagian,2021-04,128,-3.460856,119.15728
Campalagian,2021-05,267,-3.460856,119.15728
Campalagian,2021-06,140,-3.460856,119.15728
Campalagian,2021-07,261,-3.460856,119.15728
Campalagian,2021-08,101,-3.460856,119.15728
Campalagian,2021-09,260,-3.460856,119.15728
Campalagian,2021-10,258,-3.460856,119.15728
Campalagian,2021-11,256,-3.460856,119.15728
Campalagian,2021-12,233,-3.460856,119.15728
Campalagian,2022-01,194,-3.460856,119.15728
Campalagian,2022-02,241,-3.460856,119.15728
Campalagian,2022-03,155,-3.460856,119.15728
Campalagian,2022-04,256,-3.460856,119.15728
Campalagian,2022-05,211,-3.460856,119.15728
Campalagian,2022-06,192,-3.460856,119.15728
Campalagian,2022-07,201,-3.460856,119.15728
