station,date,rain_mm
Campalagian,2013-01,147
Campalagian,2013-02,201
Campalagian,2013-03,192
Campalagian,2013-04,175
Campalagian,2013-05,80
Campalagian,2013-06,110
Campalagian,2013-07,56
Campalagian,2013-08,98
Campalagian,2013-09,64
Campalagian,2013-10,56
Campalagian,2013-11,182
Campalagian,2013-12,218
Campalagian,2014-01,198
Campalagian,2014-02,200
Campalagian,2014-03,197
Campalagian,2014-04,202
Campalagian,2014-05,85
Campalagian,2014-06,58
Campalagian,2014-07,108
Campalagian,2014-08,81
Campalagian,2014-09,85
Campalagian,2014-10,75
Campalagian,2014-11,154
Campalagian,2014-12,214
Campalagian,2015-01,202
Campalagian,2015-02,191
Campalagian,2015-03,172
Campalagian,2015-04,205
Campalagian,2015-05,88
Campalagian,2015-06,81
Campalagian,2015-07,81
Campalagian,2015-08,65
Campalagian,2015-09,56
Campalagian,2015-10,88
Campalagian,2015-11,211
Campalagian,2015-12,145
Campalagian,2016-01,208
Campalagian,2016-02,206
Campalagian,2016-03,162
Campalagian,2016-04,190
Campalagian,2016-05,61
Campalagian,2016-06,103
Campalagian,2016-07,99
Campalagian,2016-08,74
Campalagian,2016-09,54
Campalagian,2016-10,117
Campalagian,2016-11,175
Campalagian,2016-12,211
Campalagian,2017-01,194
Campalagian,2017-02,202
Campalagian,2017-03,200
Campalagian,2017-04,155
Campalagian,2017-05,75
Campalagian,2017-06,82
Campalagian,2017-07,84
Campalagian,2017-08,53
Campalagian,2017-09,88
Campalagian,2017-10,60
Campalagian,2017-11,199
Campalagian,2017-12,194
Campalagian,2018-01,213
Campalagian,2018-02,199
Campalagian,2018-03,169
Campalagian,2018-04,217
Campalagian,2018-05,78
Campalagian,2018-06,72
Campalagian,2018-07,113
Campalagian,2018-08,75
Campalagian,2018-09,55
Campalagian,2018-10,82
Campalagian,2018-11,203
Campalagian,2018-12,155
Campalagian,2019-01,177
Campalagian,2019-02,150
Campalagian,2019-03,194
Campalagian,2019-04,178
Campalagian,2019-05,73
Campalagian,2019-06,65
Campalagian,2019-07,89
Campalagian,2019-08,96
Campalagian,2019-09,115
Campalagian,2019-10,80
Campalagian,2019-11,152
Campalagian,2019-12,206
Campalagian,2020-01,190
Campalagian,2020-02,196
Campalagian,2020-03,147
Campalagian,2020-04,164
Campalagian,2020-05,103
Campalagian,2020-06,108
Campalagian,2020-07,80
Campalagian,2020-08,106
Campalagian,2020-09,108
Campalagian,2020-10,77
Campalagian,2020-11,211
Campalagian,2020-12,163
Campalagian,2021-01,159
Campalagian,2021-02,194
Campalagian,2021-03,190
Campalagian,2021-04,151
Campalagian,2021-05,108
Campalagian,2021-06,63
Campalagian,2021-07,106
Campalagian,2021-08,50
Campalagian,2021-09,105
Campalagian,2021-10,105
Campalagian,2021-11,202
Campalagian,2021-12,193
Campalagian,2022-01,177
Campalagian,2022-02,196
Campalagian,2022-03,162
Campalagian,2022-04,202
Campalagian,2022-05,88
Campalagian,2022-06,82
Campalagian,2022-07,85
Campalagian,2022-08,89
Campalagian,2022-09,52
Campalagian,2022-10,59
Campalagian,2022-11,159
Campalagian,2022-12,149
Wonomulyo,2013-01,175
Wonomulyo,2013-02,193
Wonomulyo,2013-03,192
Wonomulyo,2013-04,177
Wonomulyo,2013-05,109
Wonomulyo,2013-06,89
Wonomulyo,2013-07,55
Wonomulyo,2013-08,103
Wonomulyo,2013-09,90
Wonomulyo,2013-10,94
Wonomulyo,2013-11,185
Wonomulyo,2013-12,184
Wonomulyo,2014-01,147
Wonomulyo,2014-02,184
Wonomulyo,2014-03,203
Wonomulyo,2014-04,164
Wonomulyo,2014-05,92
Wonomulyo,2014-06,52
Wonomulyo,2014-07,74
Wonomulyo,2014-08,80
Wonomulyo,2014-09,118
Wonomulyo,2014-10,65
Wonomulyo,2014-11,162
Wonomulyo,2014-12,172
Wonomulyo,2015-01,219
Wonomulyo,2015-02,208
Wonomulyo,2015-03,142
Wonomulyo,2015-04,158
Wonomulyo,2015-05,107
Wonomulyo,2015-06,54
Wonomulyo,2015-07,109
Wonomulyo,2015-08,69
Wonomulyo,2015-09,114
Wonomulyo,2015-10,70
Wonomulyo,2015-11,174
Wonomulyo,2015-12,192
Wonomulyo,2016-01,150
Wonomulyo,2016-02,184
Wonomulyo,2016-03,180
Wonomulyo,2016-04,202
Wonomulyo,2016-05,119
Wonomulyo,2016-06,96
Wonomulyo,2016-07,78
Wonomulyo,2016-08,78
Wonomulyo,2016-09,79
Wonomulyo,2016-10,106
Wonomulyo,2016-11,165
Wonomulyo,2016-12,153
Wonomulyo,2017-01,166
Wonomulyo,2017-02,141
Wonomulyo,2017-03,148
Wonomulyo,2017-04,147
Wonomulyo,2017-05,104
Wonomulyo,2017-06,100
Wonomulyo,2017-07,98
Wonomulyo,2017-08,82
Wonomulyo,2017-09,100
Wonomulyo,2017-10,61
Wonomulyo,2017-11,212
Wonomulyo,2017-12,180
Wonomulyo,2018-01,215
Wonomulyo,2018-02,152
Wonomulyo,2018-03,179
Wonomulyo,2018-04,195
Wonomulyo,2018-05,84
Wonomulyo,2018-06,81
Wonomulyo,2018-07,61
Wonomulyo,2018-08,76
Wonomulyo,2018-09,66
Wonomulyo,2018-10,71
Wonomulyo,2018-11,194
Wonomulyo,2018-12,190
Wonomulyo,2019-01,188
Wonomulyo,2019-02,168
Wonomulyo,2019-03,216
Wonomulyo,2019-04,147
Wonomulyo,2019-05,73
Wonomulyo,2019-06,58
Wonomulyo,2019-07,73
Wonomulyo,2019-08,117
Wonomulyo,2019-09,75
Wonomulyo,2019-10,113
Wonomulyo,2019-11,179
Wonomulyo,2019-12,195
Wonomulyo,2020-01,176
Wonomulyo,2020-02,161
Wonomulyo,2020-03,201
Wonomulyo,2020-04,217
Wonomulyo,2020-05,68
Wonomulyo,2020-06,104
Wonomulyo,2020-07,68
Wonomulyo,2020-08,100
Wonomulyo,2020-09,105
Wonomulyo,2020-10,81
Wonomulyo,2020-11,198
Wonomulyo,2020-12,161
Wonomulyo,2021-01,146
Wonomulyo,2021-02,147
Wonomulyo,2021-03,175
Wonomulyo,2021-04,212
Wonomulyo,2021-05,58
Wonomulyo,2021-06,81
Wonomulyo,2021-07,99
Wonomulyo,2021-08,64
Wonomulyo,2021-09,100
Wonomulyo,2021-10,71
Wonomulyo,2021-11,204
Wonomulyo,2021-12,186
Wonomulyo,2022-01,183
Wonomulyo,2022-02,154
Wonomulyo,2022-03,177
Wonomulyo,2022-04,208
Wonomulyo,2022-05,51
Wonomulyo,2022-06,103
Wonomulyo,2022-07,84
Wonomulyo,2022-08,100
Wonomulyo,2022-09,96
Wonomulyo,2022-10,80
Wonomulyo,2022-11,164
Wonomulyo,2022-12,190
Tinambung,2013-01,151
Tinambung,2013-02,186
Tinambung,2013-03,147
Tinambung,2013-04,191
Tinambung,2013-05,94
Tinambung,2013-06,55
Tinambung,2013-07,103
Tinambung,2013-08,79
Tinambung,2013-09,105
Tinambung,2013-10,52
Tinambung,2013-11,154
Tinambung,2013-12,179
Tinambung,2014-01,155
Tinambung,2014-02,166
Tinambung,2014-03,192
Tinambung,2014-04,151
Tinambung,2014-05,97
Tinambung,2014-06,57
Tinambung,2014-07,62
Tinambung,2014-08,91
Tinambung,2014-09,105
Tinambung,2014-10,61
Tinambung,2014-11,163
Tinambung,2014-12,214
Tinambung,2015-01,219
Tinambung,2015-02,186
Tinambung,2015-03,175
Tinambung,2015-04,167
Tinambung,2015-05,92
Tinambung,2015-06,91
Tinambung,2015-07,70
Tinambung,2015-08,51
Tinambung,2015-09,60
Tinambung,2015-10,117
Tinambung,2015-11,173
Tinambung,2015-12,178
Tinambung,2016-01,177
Tinambung,2016-02,202
Tinambung,2016-03,145
Tinambung,2016-04,146
Tinambung,2016-05,69
Tinambung,2016-06,84
Tinambung,2016-07,96
Tinambung,2016-08,84
Tinambung,2016-09,80
Tinambung,2016-10,115
Tinambung,2016-11,152
Tinambung,2016-12,185
Tinambung,2017-01,183
Tinambung,2017-02,177
Tinambung,2017-03,204
Tinambung,2017-04,161
Tinambung,2017-05,116
Tinambung,2017-06,73
Tinambung,2017-07,88
Tinambung,2017-08,86
Tinambung,2017-09,109
Tinambung,2017-10,80
Tinambung,2017-11,162
Tinambung,2017-12,141
Tinambung,2018-01,169
Tinambung,2018-02,206
Tinambung,2018-03,140
Tinambung,2018-04,211
Tinambung,2018-05,87
Tinambung,2018-06,59
Tinambung,2018-07,71
Tinambung,2018-08,88
Tinambung,2018-09,72
Tinambung,2018-10,57
Tinambung,2018-11,193
Tinambung,2018-12,193
Tinambung,2019-01,149
Tinambung,2019-02,162
Tinambung,2019-03,159
Tinambung,2019-04,192
Tinambung,2019-05,101
Tinambung,2019-06,100
Tinambung,2019-07,115
Tinambung,2019-08,103
Tinambung,2019-09,72
Tinambung,2019-10,57
Tinambung,2019-11,189
Tinambung,2019-12,213
Tinambung,2020-01,218
Tinambung,2020-02,158
Tinambung,2020-03,158
Tinambung,2020-04,142
Tinambung,2020-05,59
Tinambung,2020-06,88
Tinambung,2020-07,88
Tinambung,2020-08,75
Tinambung,2020-09,71
Tinambung,2020-10,108
Tinambung,2020-11,176
Tinambung,2020-12,204
Tinambung,2021-01,217
Tinambung,2021-02,165
Tinambung,2021-03,156
Tinambung,2021-04,216
Tinambung,2021-05,94
Tinambung,2021-06,70
Tinambung,2021-07,93
Tinambung,2021-08,86
Tinambung,2021-09,113
Tinambung,2021-10,67
Tinambung,2021-11,219
Tinambung,2021-12,214
Tinambung,2022-01,154
Tinambung,2022-02,153
Tinambung,2022-03,182
Tinambung,2022-04,143
Tinambung,2022-05,70
Tinambung,2022-06,80
Tinambung,2022-07,117
Tinambung,2022-08,119
Tinambung,2022-09,60
Tinambung,2022-10,112
Tinambung,2022-11,147
Tinambung,2022-12,199
